
a,ア
i,イ
u,ウ
e,エ
o,オ

ka,カ
ki,キ
ku,ク
ke,ケ
ko,コ

sa,サ
shi,シ
su,ス
se,セ
so,ソ

ta,タ
chi,チ
tsu,ツ
te,テ
to,ト

na,ナ
ni,ニ
nu,ヌ
ne,ネ
no,ノ

ha,ハ
hi,ヒ
hu,フ
he,ヘ
ho,ホ

ma,マ
mi,ミ
mu,ム
me,メ
mo,モ

ra,ラ
ri,リ
ru,ル
re,レ
ro,ロ

wa,ワ
wo,ヲ
n,ン

ya,ヤ
yu,ユ
yo,ヨ

vu,ヴ

ba,バ
bi,ビ
bu,ブ
be,ベ
bo,ボ

pa,パ
pi,ピ
pu,プ
pe,ペ
po,ポ

ga,ガ
gi,ギ
gu,グ
ge,ゲ
go,ゴ

da,ダ
di,ヂ
du,ヅ
de,デ
do,ド

za,ザ
zi,ジ
zu,ズ
ze,ゼ
zo,ゾ

kya,キャ
kyu,キュ
kyo,キョ

gya,ギャ
gyu,ギュ
gyo,ギョ

sha,シャ
shu,シュ
sho,ショ

jya,ジャ
jyu,ジュ
jyo,ジョ

cha,チャ
chu,チュ
cho,チョ

dya,ヂャ
dyu,ヂュ
dyo,ヂョ

nya,ニャ
nyu,ニュ
nyo,ニョ

hya,ヒャ
hyu,ヒュ
hyo,ヒョ

bya,ビャ
byu,ビュ
byo,ビョ

pya,ピャ
pyu,ピュ
pyo,ピョ

mya,ミャ
myu,ミュ
myo,ミョ

rya,リャ
ryu,リュ
ryo,リョ

va,ヴァ
vi,ヴィ
ve,ヴェ
vo,ヴォ

wi,ウィ
we,ウェ
uxo,ウォ

fa,ファ
fi,フィ
fe,フェ
fo,フォ

tsa,ツァ
tsi,ツィ
tse,ツェ
tso,ツォ

she,シェ

je,ジェ

che,チェ

twu,トゥ
thi,ティ
dwu,ドゥ
dhi,ディ
